Identifiant,Description,Marque,Poids,Prix,Prix_ref,Popularité,Disponible
518,Café Mélange des fêtes,STARBUCKS,283,9.99,3.53/100Gr,4,non
366,Natura. filtres à café. taille 1x4,MELITTA,400,4.89,4.89/UNITE,2,oui
25,Sauce tomate et piment sucrés,BLUE DRAGON,350,2.99,0.85/100ML,0,oui
371,Toréfaction originale. café moulu,MAXWELL HOUSE,326,5.99,1.84/100Gr,6,oui
836,Nettoyant plancher (bois franc),VIM,400,3.99,0.40/100ML,5,oui
330,Bière lager blonde 5.0%,HEINEKEN,400,19.99,0.50/100ML,10,oui
339,Bière canadienne 5%,MOLSON,380,23.99,0.34/100ML,6,non
984,Litière Multi chats,CATS PRIDE,550,8.99,0.13/100Gr,6,non
917,Purificateur d'air vanille clair de lune,FEBREZE,275,3.50,1.27/100Gr,1,oui
938,Céréales Raisin Bran,KELLOGG'S,350,1.99,0.57/100Gr,3,oui
819,Café moulu décaféiné,MAXWELL HOUSE,311,5.99,1.93/100Gr,0,non
401,Sauce pour pâtes tomates et fines herbes,MAMMA DORA,680,2.99,0.44/100ML,2,oui
116,Molson Olson Canadian 67 3%,MOLSON,340,14.99,0.37/100ML,0,oui
372,Purificateurs d'air agrumes,FEBREZE,275,3.50,1.27/100Gr,9,oui
981,Vin rouge,L'ESCALE,750,10.19,1.36/100ML,3,oui
570,Creme nettoyante citron,VIM,500,2.99,0.60/100ML,4,oui
627,Yogourtec source fraise,YOPLAIT,400,2.99,0.75/100Gr,5,oui
92,Yogourtec source cerise ,YOPLAIT,400,2.99,0.75/100Gr,2,oui
772,Grains entiers (100% Colombien),MELITTA,907,14.99,1.65/100Gr,4,non
115,Bouillon condensé consommé,CAMPBELL'S,284,1.25,0.44/100ML,2,non
840,Véranda. torréfaction blonde. K-cup,STARBUCKS,400,10.99,9.16/100Gr,8,oui
482,Wish for Glam vin mousseux rosé,WISH FOR,750,9.69,1.29/100ML,8,oui
481,Café moulu,NOUVELLE ORLEANS,225,8.99,4.00/100Gr,7,non
144,Doubleshot vanille,STARBUCKS,444,2.00,0.45/100ML,10,oui
90,Chocolate milk partly skimmed lactose free 1%,NATREL,400,4.99,0.25/100ML,4,oui
825,Assouplisseur fraîcheur printanière,BIO-VERT,400,4.99,0.36/100ML,10,oui
271,Café torrefaction française infuse,STARBUCKS,340,9.99,2.94/100Gr,3,oui
548,Chandelle parfumée citrouilles et épices ,GLADE,400,3.99,3.99/UNITE,1,oui
34,Activia. yogourt probiotique nature,DANONE,650,3.50,0.54/100Gr,4,oui
106,Chandelle parfumée vanille ,GLADE,400,3.99,3.99/UNITE,7,non
95,Café torréfaction traditionnelle k-cup (12),FOLGERS,96,8.79,9.16/100Gr,5,non
757,Blonde de chambly 5%,UNIBROUE,750,5.69,0.76/100ML,1,oui
394,Wish for Joy vin blanc Australie,WISH FOR,750,9.69,1.29/100ML,2,non
617,Canadian 67 légère,MOLSON,235,14.99,0.35/100ML,3,oui
20,Fromage frais minigo yogourtec banane,YOPLAIT,475,2.49,0.83/100Gr,5,oui
875,Sauce piment et coconut ,BLUE DRAGON,140,1.49,1.06/100ML,9,oui
107,Nettoyant liquide au citron avec Febreze,M.NET,800,2.50,0.31/100ML,4,oui
431,Air effects gain original,FEBREZE,275,3.50,1.27/100Gr,8,non
8,Serviettes de table (Boutique ),KLEENEX,75,1.79,0.02/UNITE,4,oui
272,Vin Rouge Canada - Fruité et Léger,MEDITERRA,400,9.99,1.00/100ML,1,oui
79,Pods Détergent à lessive en sachets (forest),TIDE,400,5.00,0.36/BRASSEE,0,non
104,Ultra bière légère 4%,MICHELOB,340,14.99,0.37/100ML,8,non
521,Crème nettoyante avec javel,VIM,500,2.99,0.60/100ML,4,non
